"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
"University of California at Irvine"	"No"	9.66128859468676	9.28498391497195	2478	85	100	9.44754460693873	6.76157276880406	9.39465993143281	8.57583938684897	6.67203294546107	7.50549227473742	96	96	16.1	11	9.67621046994031	66
"University of Central Florida"	"No"	8.85166342536678	7.99260665240021	1918	25	60	9.41979059615839	8.87514731685335	8.79754848848156	8.35090245169481	6.5510803350434	7.37775890822787	80	98	22.2	9	8.81611189579401	46
"University of Cincinnati"	"No"	8.83273359199642	8.62209360124161	2408	26	57	9.30891793533718	7.60638738977265	9.09459276343187	8.45467928602699	6.32076829425058	7.5234813125735	89	95	10.8	6	9.53885243891622	54
"University of Connecticut at Storrs"	"No"	9.1834829178063	8.88002911746844	2064	23	63	9.43172237267073	7.41457288135059	9.36357634787504	8.53149049611706	6.5510803350434	7.74066440191724	89	95	16	16	9.22798380714878	71
"University of Florida"	"No"	9.42907421480169	9.08658956454001	3623	54	85	10.1052031564367	8.09742629859721	8.86644061952617	8.3380665255188	6.44571981938558	7.33302301438648	88	97	13.4	20	9.59811661721326	66
"University of Georgia"	"No"	9.32545317907669	8.97094039814245	3320	43	79	9.88088400632627	7.91862865334224	8.64769499948039	8.1886891244442	6.26339826259162	7.47022413589997	88	95	14.7	22	8.97221007835365	63
"University of Hawaii at Manoa"	"No"	8.18311807939475	7.86441990499457	1627	36	69	9.30819277214369	7.78779687818117	8.40290404501411	8.01895468315572	6.53233429222235	7.15539630189673	85	87	11.8	6	9.45977525724446	54
"University of Illinois - Urbana"	"No"	9.61173052204232	9.36323311807933	5705	52	88	10.1433702198546	6.81454289725996	8.93062646917358	8.42814337458273	6.21460809842219	7.59186171488993	87	90	17.4	13	9.05473863988161	81
"University of Illinois at Chicago"	"No"	9.03408040656082	8.65294711239386	2710	22	50	9.5117774096603	7.97796809312855	8.88599431515281	8.53464010501996	6.44571981938558	8.07961802938984	82	84	10	6	9.5384203490348	34
"University of Kansas"	"No"	9.05707263557296	8.62353322718756	3681	25	50	9.79143804872751	7.42237370098682	8.85280791762332	8.12681372072611	6.5510803350434	7.89394513823596	88	94	13.7	17	9.17543831996692	57
"University of Louisville"	"No"	8.47156801338996	8.02518932189084	1823	16	33	9.19461741151095	8.73198193834769	8.78569244445124	8.1886891244442	6.27287700654617	7.79975331828725	84	92	11.1	24	9.2308290384035	31
"University of Maine at Farmington"	"No"	7.09672137849476	6.68835471394676	438	20	48	7.55276208421415	5.8406416573734	8.82614739914356	8.28652137368124	6.10924758276437	7.40671073017764	67	75	15.9	26	8.65032450401942	59
"University of Maine at Machias"	"No"	6.08904487544685	5.91079664404053	172	17	45	6.45047042214418	5.75890177387728	8.79482492801452	8.21066803116298	6.39692965521615	5.99146454710798	46	46	15.1	4	8.68862230704377	64
"University of Maine at Presque Isle"	"No"	6.13339804299665	5.9427993751267	235	10	40	6.88141130364254	6.22059017009974	8.79482492801452	8.1969879272589	5.99146454710798	7.42356844425917	67	67	15.2	11	8.7653024887482	35
"University of Maryland at Baltimore County"	"No"	8.35913488675796	7.86095636487639	985	27	57	8.77585831479753	7.86018505747217	9.05881956433494	8.39117635083275	6.20253551718792	7.92588031673756	82	88	18.4	6	8.93826914703855	55
"University of Maryland at College Park"	"No"	9.5674552191433	9.24135442550535	3409	22	53	9.86993076900728	8.29179710504873	9.07371849443322	8.54597499284169	6.30991827822652	7.34601020991329	89	92	18.1	12	9.10731047165664	63
"University of Massachusetts at Amherst"	"No"	9.57761889869911	9.4265801469736	3816	12	39	9.69781548213392	7.57044325205737	9.05555615817532	8.26796230533871	6.21460809842219	7.24422751560335	88	92	16.7	15	9.23756635822977	68
"University of Massachusetts at Dartmouth"	"No"	8.11581970121133	7.86211221166275	1006	10	37	8.44762872803033	7.39633529380081	8.84202652949881	8.41183267575841	6.21460809842219	7.13089883029635	74	90	15	20	8.9175787537811	56
"University of Michigan at Ann Arbor"	"No"	9.86016242779775	9.46807856805489	4893	66	92	10.000841097792	7.19967834569117	9.6634521335517	8.4465561118168	6.16541785423142	7.37775890822787	90	98	11.5	26	9.60555310362	87
"University of Minnesota at Duluth"	"No"	8.34093322600088	8.04750951098142	1656	15	45	8.68050180902826	7.13409372119287	9.08568376737663	8.15306194680105	6.62406522779989	7.86710550031674	79	91	19	11	8.76295892076673	53
"University of Minnesota at Morris"	"No"	7.2848209125686	6.77308037565554	588	56	86	7.5207764150628	5.03695260241363	9.19451582162921	8.06463647577422	6.39692965521615	7.3132203870903	74	78	14.6	16	8.81224801819743	51
"University of Minnesota Twin Cities"	"No"	9.31054763239321	8.76358440945014	3524	26	55	9.71123686466429	9.99131526290165	9.09929707318286	8.22790983759748	6.57088296233958	7.97590836016554	88	90	12.2	37	9.68794007784355	45
"University of Mississippi"	"No"	8.25426877009018	8.12651816878071	1669	26	47	8.92585319042092	6.68959926917897	8.50025047068593	8.24538446812075	6.39692965521615	6.30991827822652	81	86	20.3	14	8.8495139654864	53
"University of Missouri at Columbia"	"No"	8.79087775422416	8.44182288439146	2940	32	62	9.60116550334483	7.36707705988101	9.11129321837495	8.15622332319462	6.39692965521615	7.5923661285198	87	87	12.7	15	9.22473625225991	58
"University of Missouri at Rolla"	"No"	7.53743003658651	7.50988306115491	823	49	77	8.27537637483641	6.3297209055227	9.11129321837495	8.1886891244442	6.5510803350434	7.26892012819372	88	88	14.4	23	9.17977806639354	49
"University of Missouri at Saint Louis"	"No"	7.38894609761844	7.03966034986208	479	18	54	8.47491179915963	8.42332197580617	8.88820487145502	8.28500889544988	6.21460809842219	8.36357570275064	71	73	13.4	15	8.769196271411	48
"University of Montevallo"	"No"	7.2086003379602	6.79346613258001	570	18	78	7.77695440332244	5.80211837537706	8.39840965542627	8.01631789850341	5.7037824746562	6.39692965521615	72	72	18.9	8	8.67982211486446	51
"University of Nebraska at Lincoln"	"No"	8.74464743831753	8.70001462325184	3526	33	63	9.70832388772888	8.06180227453835	8.62962862074603	8.05356916913454	6.21460809842219	7.63530388625941	86	92	15.1	48	8.82658783077367	53
"University of New Hampshire"	"No"	9.18502256399189	8.94115288216057	2529	24	62	9.24551444698384	7.19893124068817	9.32188174670909	8.25894046298846	6.47697236288968	7.80384330353877	89	87	17.5	16	8.96890555068972	75
"University of North Carolina at Asheville"	"No"	7.4713630881871	6.88653164253051	394	32	74	7.61726781362835	6.98286275146894	8.69483715865908	8.13739583005665	6.39692965521615	6.62007320653036	77	83	13	11	8.85523562320697	37
"University of North Carolina at Chapel Hill"	"No"	9.58850279755634	8.69701161799207	3331	75	92	9.58939305613251	7.00306545878646	9.03598698483141	8.34283980427146	6.30991827822652	7.09007683577609	88	93	8.9	23	9.67363403969682	83
"University of North Carolina at Charlotte"	"No"	8.66613030419061	8.3986348552921	1730	19	62	9.22019168802656	8.08794755464267	8.88848084772282	8.04205641005875	6.39692965521615	7.54960916515453	79	91	16.8	7	8.73664995487245	62
"University of North Carolina at Greensboro"	"No"	8.55468163582723	8.32700074024171	1500	15	44	8.92691588977704	7.52131798019924	9.06843112579349	8.16194579946869	6.39692965521615	7.17011954344963	75	94	15.5	17	8.90815361332152	53
"University of North Carolina at Wilmington"	"No"	8.71127861513043	8.25738565573044	1449	15	67	8.80011394676631	7.04315991598834	8.93036188390943	8.21066803116298	6.21460809842219	7.3132203870903	82	85	19.1	15	8.70034773451408	55
"University of North Dakota"	"No"	7.9291264873068	7.71824095195932	1652	20	54	9.0280988119824	7.26892012819372	8.63657494843632	7.90211754627645	6.10924758276437	7.09007683577609	97	97	15.9	16	9.15101490589137	49
"University of North Florida"	"No"	7.49554194388426	7.13329595489607	560	44	85	8.26255897301066	8.18535022317869	8.799963219507	8.38022733634308	6.39692965521615	7.86480400332846	82	85	17.8	14	8.71669957296429	47
"University of North Texas"	"No"	8.39344238398006	7.91461770904068	2049	23	51	9.55016412883091	8.54364036143109	8.31971738685061	8.18283871076603	6.10924758276437	7.43838353004431	86	94	22.6	6	8.64064899534316	35
"University of Northern Colorado"	"No"	8.61794309451638	8.29579811063615	1697	12	37	9.04345899967011	7.31188616407716	8.95299349932047	8.3255483071614	6.29156913955832	7.73455884435476	75	75	21.5	8	8.74973246437081	40
"University of Northern Iowa"	"No"	8.32941678393932	8.12533508671429	1853	18	52	9.2237500588861	7.27793857294566	8.73182058296211	7.98275770201111	6.38856140554563	7.77485576666552	78	82	16.3	26	8.75352933651643	77
"University of Oklahoma"	"No"	8.46442512587758	8.28652137368124	2233	32	63	9.50569295073218	7.85631957140659	8.55120807000351	8.16791936295782	6.63987583382654	8.06337782236703	86	90	11.5	11	9.23444744731942	44
"University of Oregon"	"No"	9.06311565221966	8.8146275553107	2546	25	61	9.36469103180611	7.38087903556412	9.26879794154775	8.20521842639541	6.3456363608286	7.33302301438648	79	87	19.7	13	8.98969370086056	54
"University of Pittsburgh-Main Campus"	"No"	9.05788824878451	8.76139348525606	2503	25	59	9.48326407345242	8.36380888451688	9.28600427589717	8.42507790250843	5.99146454710798	6.80239476332431	93	93	7.8	10	9.53162645184174	66
"University of Rhode Island"	"No"	9.17398754251038	8.95557714628151	1968	12	40	9.09313217107064	7.80628928926703	9.24280756211368	8.62299361030245	6.21460809842219	7.13089883029635	84	89	16.6	7	9.12238309321704	63
"University of Sci. and Arts of Oklahoma"	"No"	5.65248918026865	5.63478960316925	208	21	43	7.03878354138854	6.15909538849193	8.21256839823415	7.56008046502183	6.39692965521615	7.49554194388426	67	77	23.6	3	8.25945819533241	43
"University of South Carolina at Aiken"	"No"	6.7428806357919	6.32793678372919	377	14	24	7.52563997504154	7.25276241805319	8.66561319653451	8.02812905943176	6.21460809842219	7.3132203870903	62	62	14.8	3	8.52416880515266	48
"University of South Carolina at Columbia"	"No"	8.94806610345893	8.66819606495276	2328	30	66	9.44097578904869	8.20549161312024	8.99640430141289	8.16678428905615	6.20455776256869	7.986504938554	84	88	16.9	18	9.01748351326684	63
"University of South Florida"	"No"	8.93445510940391	8.45019832259196	1876	29	63	9.60035337552543	9.30219002560606	8.81877816903701	8.23642052726539	6.21460809842219	7.68708015578313	84	89	17	7	9.30746708270691	47
"University of Southern Colorado"	"No"	7.24494154633701	7.12205988162914	605	10	34	8.22040309993373	6.51471269087253	8.86785006302941	8.38480400337049	6.29156913955832	7.98888225330923	63	88	19.4	0	8.5921151179335	36
"University of Southern Indiana"	"No"	7.77443551030296	7.66528471847135	1292	8	25	8.36240897761537	7.9973268229981	8.51177855871474	8.0684029585697	6.21460809842219	7.26192709270275	56	65	22	21	8.3133619511344	38
"University of Southern Mississippi"	"No"	7.9550742732627	7.6226639513236	1046	20	50	9.13345932764022	7.23489842031483	8.44505251363855	7.81197342962202	6.21460809842219	6.21460809842219	78	99	18.7	23	8.68558484267669	45
"University of Tennessee at Knoxville"	"No"	8.91905180393029	8.58895555764313	3013	27	53	9.66453215017458	8.08240225392624	8.65938695711941	8.09009578318096	6.62007320653036	8.10167774745457	86	92	16.5	22	9.06091185848425	53
"University of Texas at Arlington"	"No"	8.0959035329611	7.84737183615979	1448	19	43	9.30337523794337	9.03967066792268	8.39434736141739	7.93020620668468	6.21460809842219	7.9550742732627	73	73	21	4	8.45446636150793	29
"University of Texas at Austin"	"No"	9.59913394579637	9.16659744902826	5329	48	85	10.309519166816	8.55429627936774	8.54286093816481	8.10440130792161	6.47697236288968	8.0519780789023	91	99	19.7	11	8.96661138705286	65
"University of Texas at San Antonio"	"No"	8.34687925374656	8.03915739047324	1686	17	46	9.14580185083861	8.60465446718623	8.31971738685061	8.58969988220299	6.11368217983223	7.09007683577609	94	100	25.3	3	8.37309184744198	50
"University of Utah"	"No"	8.53601494565683	8.40983067308774	2400	27	53	9.53921237125283	9.03288694657909	8.83302530728436	8.28778002708843	6.75460409948796	8.03689677268507	89	93	12.8	9	9.13507788747564	37
"University of Vermont"	"No"	8.9441588309704	8.70084719344397	1735	18	51	8.90286367219622	7.42297125104942	9.64962702855986	8.50268850521336	6.21460809842219	6.89770494312864	87	90	9.9	10	9.44509623861856	79
"University of Virginia"	"No"	9.67086168583243	8.59118687132456	2678	74	95	9.33060920436713	4.7361984483945	9.41017435385477	8.24064886337491	6.21460809842219	6.90775527898214	90	92	9.5	22	9.51760445915569	95
"University of Washington"	"No"	9.45320811613812	8.85723049420195	3343	40	81	9.92113098770872	8.42989086301344	9.01176747459618	8.34711636103872	6.56244409369372	7.68340368105383	96	94	9	10	9.71275068614083	65
"University of West Florida"	"No"	7.35115822643069	7.13409372119287	472	20	57	8.23057721714645	7.81480342948936	8.72777821348305	8.29254851397576	6.29341927884648	7.23489842031483	83	87	23.4	12	9.04640868029382	53
"University of Wisconsin-Stout"	"No"	7.86057078553866	7.58375630070711	1030	9	32	8.70582811026678	6.361302477573	8.81045964216192	7.86018505747217	5.92958914338989	7.46737106691756	78	78	21	17	8.74097653801779	65
"University of Wisconsin-Superior"	"No"	6.8134445995109	6.8134445995109	342	14	53	7.26822302115957	6.0330862217988	8.85822643936501	7.93020620668468	6.30991827822652	7.58069975222456	75	81	15.2	15	8.77801780969814	36
"University of Wisconsin-Whitewater"	"No"	8.38935981990635	8.22121009392507	1472	12	38	8.962391701743	7.34729970074316	8.84649693855884	7.82404601085629	5.7037824746562	7.09007683577609	90	95	23.1	16	8.62317351495347	67
"University of Wisconsin at Green Bay"	"No"	7.78696700261487	7.56992765524265	759	17	50	8.24774388722552	7.20563517641036	8.83927669058535	7.9373746961633	6.16331480403464	7.09007683577609	81	89	22.2	1	8.6941671418836	46
"University of Wisconsin at Madison"	"No"	9.60918360377546	9.29944954704796	4631	36	80	10.0835148127767	7.69621263934641	9.11559003543037	8.36404201192206	6.28226674689601	7.34277918933185	93	96	11.5	20	9.3061958576197	72
"University of Wisconsin at Milwaukee"	"No"	8.56483984488359	8.2380082492184	1930	12	37	9.35539264367532	8.91502927235991	9.08091482453572	7.99429498641598	6.3456363608286	7.59085212368858	79	87	15.9	8	8.99887832543581	38
"University of Wyoming"	"No"	7.61529833982581	7.32383056620232	1073	23	46	8.9273141110606	7.30518821539304	8.69751274553952	8.13798045445214	6.39692965521615	7.3132203870903	91	94	15.1	13	9.0762373874527	45
"Valley City State University"	"No"	5.90808293816893	5.8406416573734	212	5	27	6.76041469108343	5.24174701505964	8.36310917603352	7.85166117788927	6.39692965521615	7.60090245954208	39	41	14.9	25	8.50875771259514	40
"Virginia Commonwealth University"	"No"	8.50976567558744	8.15966073706338	1567	18	45	9.23620303150191	8.53010941668278	9.23180827859142	8.33854487998858	6.21460809842219	8.1969879272589	81	87	8.7	11	9.32215004702819	45
"Virginia State University"	"No"	8.00503334463711	7.79975331828725	704	2	30	8.00836557031292	5.82304589548302	8.62819774945915	8.48570252432487	6.21460809842219	6.39692965521615	61	63	16	11	8.65399423290838	31
"Virginia Tech"	"No"	9.66218003059425	9.3689667352586	4277	29	53	9.82612042895969	6.40357419793482	9.23600811872476	8.06337782236703	6.60665018619822	7.69621263934641	85	89	13.8	20	9.09873819539488	73
"Washington State University"	"No"	8.78569244445124	8.67231482828354	2440	31	70	9.57810361290034	7.20340552108309	9.01188943325234	8.34521792667643	6.68461172766793	7.90801944463247	84	87	16.9	30	9.29761838008324	56
"Wayne State College"	"No"	7.22475340576797	7.22475340576797	724	6	21	7.9208096792886	6.16120732169508	7.90100705199242	7.88608140177575	6.29156913955832	7.41457288135059	60	68	20.3	29	8.422882511945	52
"West Chester University of Penn."	"No"	8.77986510086385	8.17159948034546	1372	11	51	8.92052268739398	7.55171221535131	8.96750418731624	8.32069157104845	5.99146454710798	7.60090245954208	76	79	15.3	16	8.8206993992149	52
"West Liberty State College"	"No"	7.05961762829138	6.96790920180188	478	12	25	7.66762609158499	5.4249500174814	8.40514368760761	7.96901178110648	6.39692965521615	7.09837563859079	33	33	16.3	10	8.35443894011481	60
"Western Carolina University"	"No"	8.07837810362652	7.83161727635261	1057	11	31	8.51719319141624	6.55961523749324	8.76248954737158	7.77485576666552	4.70048036579242	7.39141523467536	67	78	14.6	9	8.78783082925876	55
"Western Michigan University"	"No"	9.12336535796178	8.88058552310249	2738	24	53	9.6638969875516	8.36124088964235	8.84505705350085	8.3187422526924	6.21460809842219	7.43838353004431	80	84	24.7	11	8.69667739339003	55
"Western State College of Colorado"	"No"	7.90174751852014	7.39203156751459	604	7	24	7.74716496652033	4.98360662170834	8.68575383296015	8.23084356419823	6.21460809842219	7.62559507213245	76	79	19.4	4	8.43359416753992	52
"Western Washington University"	"No"	8.62119278143472	8.17835816560584	1549	30	71	9.09481728072064	6.22653666928747	9.00257792270028	8.32941678393932	6.45990445437753	7.77695440332244	83	89	22.7	10	8.88225288488936	61
"Westfield State College"	"No"	8.03915739047324	7.67322312112171	825	3	20	8.08147504013705	6.84694313958538	8.62011072542292	8.23959345430597	6.21460809842219	7.17011954344963	75	79	15.7	20	8.34806422840827	65
"Westmont College"	"No"	6.85646198459459	6.5694814204143	351	42	72	7.15148546390474	2.19722457733622	9.56941244051464	8.5762165318657	6.19440539110467	7.25134498337221	77	77	14.9	17	9.086702731518	87
"Winona State University"	"No"	8.10922495308995	7.62413058566129	1301	20	45	8.66561319653451	6.77078942390898	8.34283980427146	7.90100705199242	5.7037824746562	7.09007683577609	53	60	20.2	18	8.57885257180297	58
"Winthrop University"	"No"	7.74932246466036	7.49831587076698	769	24	61	8.1300590399928	6.50727771238501	8.76405326934776	8.12917499691179	6.36302810354046	7.67322312112171	71	80	12.8	26	8.81418182318832	59
"Worcester State College"	"No"	7.69484807238461	7.32317071794347	543	4	26	8.03560269291858	7.61529833982581	8.82423661734664	8.26873183211774	6.21460809842219	7.09007683577609	60	60	21	14	8.40491994893345	40
