"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
"Converse College"	"Yes"	6.08677472691231	6.00881318544259	149	35	70	6.46614472423762	4.38202663467388	9.3968199389188	8.21608809863232	6.21460809842219	6.80239476332431	63	76	10.2	31	9.30246366085199	75
"Cornell College"	"Yes"	7.33823815006559	7.19218205871325	383	33	68	7.03878354138854	2.30258509299405	9.63220362589398	8.37170488466763	6.30991827822652	6.68461172766793	71	76	12.2	31	9.24377514806242	64
"Creighton University"	"Yes"	7.99530662029082	7.95014988765202	876	30	60	8.14612951002541	6.46769872610435	9.2712473068797	8.38297584929643	6.47697236288968	7.62803112693033	85	90	6.5	32	10.0391541639577	85
"Culver-Stockton College"	"Yes"	7.36264527041782	7.01211529430638	274	24	55	6.89972310728487	4.71849887129509	8.98719682066197	8.21608809863232	5.99146454710798	6.21460809842219	51	52	14.1	28	8.66681936537205	51
"Cumberland College"	"Yes"	6.90274273715859	6.67076632084587	398	26	47	7.17472430983638	4.80402104473326	8.7371316117815	8.16791936295782	5.99146454710798	6.39692965521615	42	44	13	4	9.01054706927019	63
"D'Youville College"	"Yes"	6.76388490856244	6.4281052726846	157	18	47	6.97914527506881	5.8171111599632	9.09605122557405	8.36869318309779	6.52209279817015	7.18538701558042	68	68	14.6	42	8.83898679349679	46
"Dana College"	"Yes"	6.22257626807137	6.1779441140506	185	10	36	6.30991827822652	4.43081679884331	9.11932097358901	8.10832229017324	6.10924758276437	7.27931883541462	46	51	12.6	25	9.06946781309477	54
"Daniel Webster College"	"Yes"	6.37161184723186	6.23048144757848	153	12	30	6.13122648948314	6.2841341610708	9.41670392325038	8.5039052970893	6.21460809842219	6.21460809842219	61	61	22.2	10	9.06450502375264	72
"Dartmouth College"	"Yes"	9.05800471067248	7.72885582385254	1087	87	99	8.27333659850449	3.46573590279973	9.88047477822706	8.71111388405354	6.30991827822652	7.00306545878646	95	99	4.7	49	10.2961713262796	98
"Davidson College"	"Yes"	7.77191025643576	6.8627579130514	452	77	96	7.37838371299671	1.79175946922805	9.75817272137127	8.53109609658523	6.39692965521615	6.91869521902047	95	97	12	46	9.77457405244279	94
"Defiance College"	"Yes"	6.34738920965601	6.13339804299665	174	10	26	6.46925031679577	5.64544689764324	9.29192035896861	8.20794694104862	5.99146454710798	7.05531284333975	58	60	12.8	19	8.92332474406756	56
"Denison University"	"Yes"	7.92371033396924	7.73149202924568	533	32	60	7.51479976048867	2.63905732961526	9.73506890091116	8.4595640785796	6.21460809842219	6.39692965521615	88	97	11.6	45	9.42730487221368	81
"DePauw University"	"Yes"	7.59789795052178	7.4121603349452	495	50	80	7.5923661285198	3.58351893845611	9.568014816248	8.52118521268578	6.30991827822652	6.85646198459459	78	94	11.1	31	9.35227386786485	82
"Dickinson College"	"Yes"	8.01102337918644	7.83952558170468	487	31	68	7.54380286750151	4.12713438504509	9.83627880284268	8.51719319141624	6.38856140554563	7.13089883029635	87	94	11.2	39	9.53683442021335	87
"Dillard University"	"Yes"	7.5999019592085	7.22693601849329	651	41	88	7.33888813383888	3.80666248977032	8.80986280537906	8.20248244657654	6.21460809842219	7.74370325817375	52	52	14.1	12	8.93141980519298	61
"Doane College"	"Yes"	6.67582322163485	6.56385552653213	244	20	47	6.92951677076365	6.01859321449623	9.166388484447	8.00636756765025	5.99146454710798	6.90775527898214	67	72	15.1	42	8.83229585944401	60
"Dominican College of Blauvelt"	"Yes"	5.88610403145016	5.79605775076537	108	4	19	6.62804137617953	6.76041469108343	9.02521488784949	8.61250337122056	6.39692965521615	7.49554194388426	43	43	12.7	5	8.60886037994206	54
"Dordt College"	"Yes"	6.40357419793482	6.33150184989369	328	25	50	6.95463886488099	4.02535169073515	9.19013766465866	7.88231491898027	6.10924758276437	7.9373746961633	61	60	12.5	17	8.89904843388527	87
"Dowling College"	"Yes"	6.91869521902047	6.7202201551353	410	9	33	6.96508034560141	7.80710329012598	9.10497985631836	8.03915739047324	6.10924758276437	7.25347038268453	77	78	12.4	7	9.32170283982964	42
"Drake University"	"Yes"	7.93701748951545	7.85282781228174	839	34	65	8.10832229017324	6.5875500148248	9.50450141052567	8.47010158388239	6.32793678372919	7.42356844425917	88	93	15	24	9.15620092587553	77
"Drew University"	"Yes"	7.67461749736436	7.36518012602101	321	56	84	7.0833878476253	4.46590811865458	9.82184356349562	8.63337494570565	6.25382881157547	6.49223983502047	93	97	10.2	28	9.60958618027043	83
"Drury College"	"Yes"	6.5510803350434	6.47697236288968	314	33	66	6.97073007814353	3.87120101090789	9.07452064883365	8.16706817834124	6.21460809842219	6.62007320653036	82	92	13.2	35	9.13809220776856	67
"Duke University"	"Yes"	9.53162645184174	8.26693534761046	1583	90	98	8.73036721169296	3.97029191355212	9.83037908071549	8.69114649853968	6.4377516497364	7.05789793741186	95	96	5	44	10.2111928161934	97
"Earlham College"	"Yes"	7.21376830811864	6.91373735065968	274	35	63	6.93537044601511	2.56494935746154	9.61820260468407	8.30795254527102	6.39692965521615	6.39692965521615	90	94	10.6	46	9.59110286744398	78
"East Texas Baptist University"	"Yes"	5.93753620508243	5.83188247728352	265	10	36	6.95654544315157	5.01727983681492	8.50714285556274	7.93020620668468	6.27287700654617	7.3132203870903	62	62	15.7	7	8.6339089911122	38
"Eastern College"	"Yes"	6.12686918411419	5.91079664404053	165	16	42	6.96318998587024	5.87211778947542	9.32277580130597	8.47637119689598	6.10924758276437	7.11476944836646	60	60	13.6	22	9.00393101965314	54
"Eastern Mennonite College"	"Yes"	6.18620862390049	6.08677472691231	227	19	48	6.80572255341699	4.07753744390572	9.17471319433303	8.24275634571448	6.39692965521615	7.17011954344963	46	65	11.4	29	9.22896583609935	82
"Eastern Nazarene College"	"Yes"	6.24610676548156	6.0137151560428	200	17	40	7.12125245324454	3.40119738166216	9.07909208536623	8.1605182474775	6.10924758276437	6.5510803350434	58	58	17.3	17	8.76872981723167	70
"Eckerd College"	"Yes"	7.25981961036319	7.01121398735037	366	33	65	7.21744343169653	3.13549421592915	9.63952200670166	8.31385226739821	6.39692965521615	6.90775527898214	82	89	12.8	26	9.61600546008701	59
"Elizabethtown College"	"Yes"	7.79028238070348	7.51914995766982	426	36	70	7.29709100516042	5.70044357339069	9.56029277015409	8.38935981990635	6.21460809842219	6.62007320653036	65	68	12.8	25	9.19166710671056	81
"Elmira College"	"Yes"	7.2841348061952	6.95177216439891	345	27	50	7.01121398735037	6.21860011969173	9.61513859109664	8.5131851700187	6.10924758276437	6.30991827822652	77	98	21.5	21	8.92292493064183	64
"Elms College"	"Yes"	5.50125821054473	5.33753807970132	125	23	46	6.29894924685594	6.07764224334903	9.37585481045376	8.4690528160883	6.10924758276437	7.43838353004431	71	71	11.3	21	9.09963224999176	86
"Elon College"	"Yes"	8.19533366716287	7.93236215433975	858	11	39	7.98378106897745	5.8111409929767	9.11602969250494	8.26436332973167	6.19440539110467	7.48268182815465	70	74	18.9	34	8.7528975247753	63
"Embry Riddle Aeronautical University"	"Yes"	8.05547514175727	7.85709386490249	958	14	40	8.47052078321781	6.75227037614174	8.96187901267768	8.22951111896446	6.3456363608286	8.01301211036892	37	43	16.5	4	9.46327570809813	44
"Emory & Henry College"	"Yes"	6.63987583382654	6.4707995037826	226	30	60	6.69579891705849	3.46573590279973	9.05695606507683	8.39117635083275	6.5510803350434	7.37775890822787	79	88	13.9	51	8.9947928972836	82
"Emory University"	"Yes"	9.04852707581358	8.3351915834332	1236	76	97	8.62047154086974	5.25749537202778	9.77565418102624	8.69951474821019	6.39692965521615	6.76849321164863	97	98	5	28	10.2561494549844	96
"Erskine College"	"Yes"	6.49072353450251	6.32256523992728	167	47	74	6.27664348934164	3.55534806148941	9.25770094333602	8.25322764558177	6.16331480403464	7.1276936993474	76	80	13.5	47	8.92625183503453	67
"Eureka College"	"Yes"	6.32793678372919	6.11809719804135	113	36	56	6.18208490671663	2.77258872223978	9.30155125202957	8.14612951002541	5.79909265446053	6.50727771238501	62	87	10.6	31	9.16450583563238	53
"Fairfield University"	"Yes"	8.47303229563047	8.11552088154677	781	30	66	8.00101996132365	6.94408720822953	9.61580548008435	8.73230457103318	6.5510803350434	7.00306545878646	86	90	15.1	30	9.32545317907669	94
"Ferrum College"	"Yes"	7.19967834569117	7.00940893270864	336	12	36	6.95749737087695	4.40671924726425	9.14846496825809	8.34283980427146	6.21460809842219	7.37775890822787	53	58	12.5	9	8.98306328938037	22
"Flagler College"	"Yes"	7.25488481007734	6.57088296233958	338	18	52	7.20414929203594	3.78418963391826	8.54090971803355	8.07090608878782	6.21460809842219	7.6685611080159	52	60	18.1	9	8.27639470486331	69
"Florida Institute of Technology"	"Yes"	7.5740450053722	7.36518012602101	523	39	74	7.52994337060159	5.4510384535657	9.53964411911878	8.32845106681936	6.62007320653036	7.3132203870903	90	90	10.6	7	9.09638749190015	57
"Florida Southern College"	"Yes"	7.23056315340929	6.94697599213542	374	20	44	7.31721240835984	6.87729607149743	8.99031694799822	8.4898219946201	5.99146454710798	6.47697236288968	65	74	17.4	10	8.75447630628417	68
"Fontbonne College"	"Yes"	5.67332326717149	5.50125821054473	126	16	49	6.88857245956536	5.82008293035236	9.03479579946125	8.3187422526924	5.85793315448346	7.3132203870903	45	55	21.5	24	8.43533216493592	62
"Fordham University"	"Yes"	8.34283980427146	7.96346006663897	942	30	55	8.46379241468912	7.40610338123702	9.56345899971214	8.84865288621391	6.39692965521615	7.45876269238096	86	97	14.4	14	9.29320984979848	80
"Franciscan University of Steubenville"	"Yes"	6.31535800152233	6.11368217983223	228	22	49	7.1708884785125	5.48893772615669	9.17471319433303	8.38935981990635	6.39692965521615	6.90775527898214	57	69	14.9	8	8.75400293349426	83
"Franklin College"	"Yes"	6.68959926917897	6.44888939414686	281	29	72	6.73340189183736	4.21950770517611	9.24859908409327	8.3039999709552	6.26339826259162	7.20414929203594	54	78	12.5	37	9.37169362233394	60
"Franklin Pierce College"	"Yes"	8.5539107743514	8.40536737623398	446	3	14	7.50549227473742	7.08757370555797	9.49702194409438	8.44031214708028	6.21460809842219	6.68461172766793	50	56	17.6	16	8.7668618216698	51
"Freed-Hardeman University"	"Yes"	6.79682371827486	6.30627528694802	314	20	54	7.06817200038804	3.91202300542815	8.61250337122056	8.11372608597075	6.39692965521615	7.37775890822787	68	76	16.1	13	8.71243097347674	62
"Fresno Pacific College"	"Yes"	5.84643877505772	5.61312810638807	146	51	87	6.55677835615804	4.14313472639153	9.20029003612268	8.20794694104862	6.44571981938558	7.50549227473742	59	59	10.5	14	8.99900186611174	54
"Furman University"	"Yes"	7.67832635650689	7.57609734062311	685	56	82	7.77106708606541	5.16478597392351	9.50599061407714	8.3059782109673	6.39692965521615	7.13089883029635	92	95	13.5	28	9.46807856805489	82
"Gannon University"	"Yes"	7.80954132465341	7.55381085200823	678	24	57	7.8984110928116	6.53813982376767	9.30291955326928	8.36170828857584	6.21460809842219	7.22983877815125	47	51	13.3	18	8.95040315983296	65
"Gardner Webb University"	"Yes"	7.01211529430638	6.8351845861473	332	18	36	7.37963215260955	5.92425579741453	9.00944742959679	8.35936910622267	6.21460809842219	6.21460809842219	65	58	15.2	12	8.64188563537355	29
"Geneva College"	"Yes"	6.50428817353665	6.2803958389602	237	19	39	7.17472430983638	5.55295958492162	9.15651756527868	8.48052920704465	6.21460809842219	7.00306545878646	67	67	20.1	26	8.82261694534418	74
"George Fox College"	"Yes"	6.69579891705849	6.5875500148248	294	27	52	7.14755927118945	3.76120011569356	9.43348392329039	8.32603268595508	5.99146454710798	6.95654544315157	53	53	13.5	22	8.87290767425985	52
"George Washington University"	"Yes"	8.97144846369383	8.52951694110507	1492	38	71	8.60721669406383	7.29301767977278	9.76709492763057	8.75273950944749	6.5510803350434	6.85646198459459	92	93	7.6	15	9.59865932124938	72
"Georgetown College"	"Yes"	6.58892647753352	6.5410299991899	286	30	55	6.96885037834195	3.87120101090789	8.99961934066053	8.28147085789517	6.30991827822652	6.30991827822652	73	76	13.3	28	8.9237243977064	55
"Georgetown University"	"Yes"	9.3160508263983	7.96589273508453	1390	71	93	8.67948209445996	6.00635315960173	9.81465633882951	8.8722067560283	6.50727771238501	7.43838353004431	91	92	7.2	27	9.88506896701211	95
"Georgian Court College"	"Yes"	5.85220247977447	5.63835466933375	127	12	52	6.9985096422506	6.66568371778241	9.12150915826957	8.28147085789517	6.21460809842219	6.68461172766793	56	59	12.2	27	8.90218344633502	76
"Gettysburg College"	"Yes"	8.18757739559151	7.81035268372429	575	42	78	7.57250298502038	3.8286413964891	9.9016859305895	8.37286082052632	6.21460809842219	6.21460809842219	94	95	12.1	32	9.59696239228287	83
"Goldey Beacom College"	"Yes"	6.45047042214418	6.14846829591765	284	10	27	6.71295620067707	6.87005341179813	8.71931737550637	8.0013550258267	6.27476202124194	7.51207124583547	25	25	27.6	4	8.71292443512011	36
"Gonzaga University"	"Yes"	7.5422134631934	7.32909373624659	526	31	67	7.83320394864106	5.69035945432406	9.47270463644367	8.40065937516029	6.39692965521615	7.78322401633604	78	90	14.7	32	9.16461052027001	69
"Gordon College"	"Yes"	6.51323011091231	6.33682573114644	282	25	54	7.04838640872188	3.66356164612965	9.40919123072135	8.31139827843664	5.99146454710798	7.09007683577609	73	82	14.2	32	9.12978086411777	66
"Goshen College"	"Yes"	6.08677472691231	5.98141421125448	221	26	51	6.8134445995109	5.11198778835654	9.15059036757041	8.22416351263786	6.39692965521615	7.11476944836646	51	56	9.9	46	9.2369823029226	72
"Goucher College"	"Yes"	7.04838640872188	6.70073110954781	248	40	64	6.74523634948436	4.38202663467388	9.6542566664586	8.7281022050621	6.21460809842219	7.09007683577609	78	90	9.2	34	9.71854255753546	77
"Grace College and Seminary"	"Yes"	6.30627528694802	6.0591231955818	167	18	46	6.42648845745769	4.72738781871234	9.10030226676725	8.20794694104862	5.7037824746562	6.90775527898214	53	59	15.3	26	9.18993356219852	64
"Graceland College"	"Yes"	6.31896811374643	6.02586597382531	242	14	41	6.9037472575846	7.73236922228439	9.11602969250494	8.03915739047324	6.30991827822652	6.77992190747225	51	61	23.6	24	8.63212772950834	47
"Green Mountain College"	"Yes"	6.65929391968364	6.4425401664682	198	7	20	6.30078579466324	3.73766961828337	9.37160851957231	7.90100705199242	5.99146454710798	6.74523634948436	77	83	14	24	8.77570388656774	76
"Greensboro College"	"Yes"	6.41017488196617	6.20253551718792	176	10	31	6.47543271670409	5.74939298590825	9.02761873516089	8.23483028044206	6.30991827822652	7.17011954344963	64	80	13	31	8.98080141357311	39
"Greenville College"	"Yes"	6.23441072571837	5.95842469302978	194	20	46	6.64768837356333	3.97029191355212	9.24086957701101	8.41847721847708	5.99146454710798	6.68461172766793	57	61	14.3	16	9.01456876745782	60
"Grinnell College"	"Yes"	7.62021477057445	7.23633934275434	432	56	91	7.19518732017871	3.40119738166216	9.66065136787618	8.43771698991444	5.99146454710798	5.99146454710798	88	92	9.5	54	9.85108838373692	83
"Grove City College"	"Yes"	7.82043951526218	7.01211529430638	573	57	88	7.70210434005105	3.55534806148941	8.56101867095627	8.02224091680654	6.26339826259162	5.85793315448346	65	65	18.4	18	8.50855599802057	100
"Guilford College"	"Yes"	7.09174211509515	6.96034772910131	326	18	44	7.25134498337221	5.70044357339069	9.5033084488572	8.54869185847561	6.10924758276437	6.95654544315157	78	86	15.6	30	9.11756697182383	65
"Gustavus Adolphus College"	"Yes"	7.44366368311559	7.23345541862144	634	36	72	7.73236922228439	3.91202300542815	9.55570155601464	8.1886891244442	5.99146454710798	6.5510803350434	79	89	12.5	58	9.20099685697303	80
"Gwynedd Mercy College"	"Yes"	5.94017125272043	5.46806014113513	104	30	56	6.57368016696065	7.01031186730723	9.30565055178051	8.62155320674048	6.21460809842219	6.21460809842219	36	41	7.8	22	8.92038906008036	96
"Hamilton College"	"Yes"	8.0519780789023	7.48605261786314	454	40	82	7.40610338123702	3.17805383034795	9.88837391472608	8.52714352226941	5.7037824746562	6.68461172766793	91	96	9.6	60	9.78476032126733	91
"Hamline University"	"Yes"	6.91373735065968	6.71538338633468	328	34	73	7.21670948670946	4.62497281328427	9.49190376341979	8.34141021146186	6.10924758276437	6.30991827822652	89	93	13	33	9.23951074927596	65
"Hampden - Sydney College"	"Yes"	6.70563909486	6.46769872610435	307	20	40	6.85118492749374	0	9.4893348160304	8.4707303170059	6.49223983502047	6.39692965521615	95	97	13.3	53	9.41434187776203	69
"Hampton University"	"Yes"	8.87877607170755	8.23084356419823	1433	25	63	8.43879912398823	6.60665018619822	8.87640491500694	8.1656479252975	6.39692965521615	7.60090245954208	60	64	14	9	8.82335348511379	70
"Hanover College"	"Yes"	6.91373735065968	6.72982407048948	317	33	65	6.93147180559945	2.70805020110221	9.01188943325234	8.15622332319462	6.21460809842219	7.09007683577609	84	84	10.6	26	9.13216259091216	64
"Hardin-Simmons University"	"Yes"	6.1463292576689	6.04973345523196	350	16	40	7.21890970761906	5.8111409929767	8.74830491237962	7.99967857949945	6.5510803350434	7.6685611080159	75	79	13.7	10	8.861350110796	38
"Harding University"	"Yes"	7.45066079621154	6.97354301952014	806	35	75	8.0481491016652	5.36129216570943	8.61323037961318	8.16848641712668	6.5510803350434	6.8134445995109	71	77	17.7	37	8.77431295828538	73
"Hartwick College"	"Yes"	7.64156444126097	7.45298232946546	430	22	49	7.28892769452126	4.20469261939097	9.76881264920953	8.4721958254855	6.21460809842219	6.5510803350434	75	87	12.3	32	9.36091323045556	73
"Harvard University"	"Yes"	9.53712295804988	7.68017564043659	1606	90	100	8.8337542234184	5.76832099579377	9.82471487137073	8.76561454991472	6.21460809842219	7.56008046502183	97	97	9.9	52	10.5245746625597	100
"Harvey Mudd College"	"Yes"	7.22766249872865	6.3491389913798	178	95	100	6.4831073514572	1.6094379124341	9.75440732952197	8.80836915312227	6.5510803350434	6.80239476332431	100	100	8.2	46	9.97901237762237	100
"Hastings College"	"Yes"	6.70563909486	6.56244409369372	262	22	52	6.84054652928869	3.61091791264422	9.14590851181679	8.09315669772264	6.21460809842219	7.55066124310534	57	63	13	17	8.90041269057708	52
"Hendrix College"	"Yes"	6.71295620067707	6.58063913728495	274	52	87	6.86066367144829	1.79175946922805	9.0825070004663	8.06934236681164	6.21460809842219	7.09007683577609	82	99	13.1	26	9.05812115899867	63
"Hillsdale College"	"Yes"	6.82437367004309	6.61338421837956	347	35	66	7.03262426102801	3.73766961828337	9.31379908034441	8.45531778769815	5.99146454710798	6.62007320653036	80	80	12	31	9.44454255064713	79
"Hiram College"	"Yes"	6.82654522355659	6.59167373200866	244	37	66	6.90775527898214	5.61677109766657	9.5515869077577	8.42507790250843	5.99146454710798	6.90775527898214	75	95	10.6	34	9.40631825521762	79
"Hobart and William Smith Colleges"	"Yes"	7.89655270164304	7.64060382639363	500	25	53	7.49108759353488	1.6094379124341	9.85371941030201	8.67265729404031	6.39692965521615	6.39692965521615	99	99	12.1	37	9.47577683548064	79
"Hofstra University"	"Yes"	8.9130119224726	8.67590488257106	1349	25	63	8.78477459216102	7.20785987143248	9.35876037709446	8.68609172787805	6.90775527898214	6.90775527898214	81	90	13.9	10	9.21959739323886	60
"Hollins College"	"Yes"	6.40025744530882	6.21060007702465	215	26	58	6.67834211465433	4.30406509320417	9.50822026940441	8.6152269316876	6.21460809842219	6.74523634948436	78	91	11.1	48	9.54373645350864	72
"Hood College"	"Yes"	6.54965074223381	6.33682573114644	176	36	64	6.56526497003536	5.98896141688986	9.54395137631636	8.70615929092886	6.10924758276437	6.5366915975913	82	88	14.4	34	9.42818993482928	72
"Hope College"	"Yes"	7.44541755670169	7.30182234213793	624	37	69	7.82604401351897	5.33753807970132	9.41531995266272	8.37586001529959	6.14203740558736	7.00306545878646	72	81	12.5	40	9.13604776739433	72
"Houghton College"	"Yes"	6.85540879860993	6.66695679242921	302	30	70	7.09837563859079	3.25809653802148	9.2093398716426	8.17470288246946	6.21460809842219	7.3132203870903	85	90	15	24	9.01030280937645	67
"Huntingdon College"	"Yes"	6.41017488196617	6.25382881157547	127	26	47	6.28785856016178	4.83628190695148	8.99714715151514	8.27384693278451	6.21460809842219	7.00306545878646	63	72	11.4	9	8.94936514235297	44
"Huntington College"	"Yes"	6.10924758276437	6.06378520868761	125	20	46	6.19031540585315	3.76120011569356	9.20532783015264	8.27384693278451	5.7037824746562	7.17011954344963	76	76	11.8	25	9.15546171046619	47
"Huron University"	"Yes"	6.39692965521615	5.28320372873799	124	3	9	5.97126183979046	4.23410650459726	8.89013510781884	8.03592636989179	6.39692965521615	7.51752085060303	31	35	12.9	4	9.13227071655426	21
"Husson College"	"Yes"	6.58340922215876	6.48004456192665	361	10	30	6.85751406254539	6.55961523749324	8.96187901267768	8.29404964010203	5.85793315448346	7.3132203870903	36	44	22	4	8.5016733797582	84
"Illinois Benedictine College"	"Yes"	6.4085287910595	6.32435896238131	269	22	47	7.10824413973154	6.25190388316589	9.25913053614561	8.3774712482411	6.47697236288968	7.3132203870903	81	91	11.6	29	9.02689818751353	75
"Illinois College"	"Yes"	6.79570577517351	6.6682282484174	262	28	63	6.81234509417748	3.3322045101752	8.99342737041261	8.25582842728183	6.39692965521615	6.90775527898214	75	75	15.6	30	8.90218344633502	52
"Illinois Institute of Technology"	"Yes"	7.47079377419506	7.2152399787301	478	42	77	7.55538194424027	6.4393503711001	9.58534627259964	8.43814998407578	6.21460809842219	6.5510803350434	80	88	12.3	26	9.46117690830714	56
"Illinois Wesleyan University"	"Yes"	8.02289686960146	7.20191631753163	471	55	86	7.50549227473742	3.13549421592915	9.57220184260222	8.31630024903685	5.99146454710798	6.47697236288968	77	92	12.9	34	9.17003907520266	83
"Immaculata College"	"Yes"	5.59098698051086	5.53338948872752	103	16	44	6.20253551718792	7.17395831975679	9.21034037197618	8.58746524440157	6.21460809842219	6.90775527898214	56	64	11.2	33	8.8963143241848	69
"Incarnate Word College"	"Yes"	7.05875815251866	6.83195356556585	386	16	49	7.42952084278646	6.32076829425058	9.08704215563169	8.45297461908959	6.62007320653036	7.92840602618053	67	69	11.4	21	8.71522404191537	95
"Indiana Wesleyan University"	"Yes"	6.59987049921284	6.04737217904628	366	20	48	7.80302664363222	6.56103066589657	9.12804512924935	8.2380082492184	6.5510803350434	6.90775527898214	49	51	39.8	15	8.78905071352105	34
"Iona College"	"Yes"	8.49535649680706	8.16905314992734	913	13	33	8.27026911143662	7.27655640271871	9.27706400401909	8.82320622055274	6.3456363608286	7.0475172213573	66	83	16	14	9.00048316498771	66
"Ithaca College"	"Yes"	8.88999735728484	8.61721950548336	1368	23	52	8.63266244122235	5.11198778835654	9.57664876488315	8.73101341526956	6.45204895443723	6.90775527898214	58	79	11.5	25	9.19136140537838	75
"Jamestown College"	"Yes"	6.15697898558556	6.01615715969835	262	14	41	9.20532783015264	4.26267987704132	8.93853164868069	8.02289686960146	5.99146454710798	5.99146454710798	51	53	17	21	8.06652149046999	54
"John Brown University"	"Yes"	6.40522845803084	6.00388706710654	284	24	53	6.86797440897029	4.59511985013459	8.76374072050946	8.20849175174038	5.99146454710798	7.20785987143248	68	68	13.3	19	9.00183909739884	75
"John Carroll University"	"Yes"	7.79193595693806	7.65396918047877	820	27	57	8.06085575293432	5.97126183979046	9.36734412078585	8.62155320674048	6.39692965521615	6.10924758276437	89	90	14.5	28	8.95389853526046	89
"Johns Hopkins University"	"Yes"	9.0447579311865	8.14496941708788	911	75	94	8.17919979842309	7.35819375273303	9.84161214881804	8.81581520390635	6.21460809842219	6.94697599213542	96	97	3.3	38	10.9372590521661	90
"Judson College"	"Yes"	5.74620319054015	5.42934562895444	137	10	30	6.31354804627709	4.20469261939097	9.14995322196109	8.42376124662369	6.21460809842219	7.43838353004431	34	55	10.6	30	8.96699411334445	56
"Juniata College"	"Yes"	6.91274282049318	6.75576892198425	298	36	55	6.98007594056176	3.76120011569356	9.60575514423085	8.40290404501411	6.10924758276437	6.04025471127741	97	97	12.7	37	9.3982297330736	80
"Kansas Wesleyan University"	"Yes"	6.37842618365159	6.35437004079735	148	16	40	6.16120732169508	5.55295958492162	9.03598698483141	8.08641027532378	6.21460809842219	7.24422751560335	63	55	12.4	14	8.78492762605832	68
"Kentucky Wesleyan College"	"Yes"	6.36990098282823	6.20859002609663	175	20	49	6.49526555593701	4.79579054559674	8.98719682066197	8.33086361322474	6.21460809842219	7.17011954344963	57	65	11.3	32	8.86191700423521	62
"Kenyon College"	"Yes"	7.70165236264223	7.33823815006559	408	44	75	7.27586460054653	0	9.8647467242197	8.21338173703457	6.62007320653036	6.17378610390194	95	95	11.1	46	9.5515869077577	88
"Keuka College"	"Yes"	6.13339804299665	5.9427993751267	174	10	43	6.60394382460047	4.00733318523247	9.16951837745593	8.422882511945	6.39692965521615	6.62007320653036	55	94	13.3	43	8.96992349199152	51
"King's College"	"Yes"	7.28344822875663	6.95939851213398	381	20	45	6.21460809842219	6.29341927884648	9.29743507882712	8.54869185847561	5.99146454710798	7.49276030092238	66	72	15.6	37	8.94233019932187	87
"King College"	"Yes"	5.87211778947542	5.7037824746562	142	34	65	6.23244801655052	3.78418963391826	9.06693178868083	8.11671562481911	6.39692965521615	8.00636756765025	65	68	10.7	25	9.09985563880091	65
"Knox College"	"Yes"	6.94697599213542	6.73933662735717	286	48	77	6.87419849545329	3.17805383034795	9.66440514992041	8.30943074214033	5.99146454710798	6.68461172766793	88	95	12.7	33	9.48978863950086	79
"La Roche College"	"Yes"	5.88887795833288	5.77144112313002	185	10	41	6.47697236288968	6.70808408385307	9.08726837438619	8.47261414801827	6.39692965521615	7.00306545878646	57	73	14.2	14	8.85680335672838	52
"La Salle University"	"Yes"	7.98241634682773	7.51425465281641	622	20	56	7.91498300584839	7.41577697541539	9.44145209293957	8.63230599851674	6.10924758276437	8.05832730658096	90	90	15.1	9	9.11426990322545	84
"Lafayette College"	"Yes"	8.29654652030061	7.78405700263993	572	36	59	7.60986220091355	5.42053499927229	9.83788179543813	8.65521448931361	6.39692965521615	6.90775527898214	93	96	10.5	38	9.63984747456458	92
"LaGrange College"	"Yes"	6.29894924685594	5.98896141688986	177	15	35	6.39692965521615	5.89440283426485	8.85180655855245	8.18451375303372	6.62007320653036	7.3132203870903	77	83	12.5	12	9.11239672764606	75
"Lake Forest College"	"Yes"	6.88653164253051	6.45833828334479	271	31	70	6.87523208727658	2.99573227355399	9.73388476814995	8.28652137368124	6.82437367004309	7.18538701558042	91	94	10.7	19	9.66058762285624	77
"Lakeland College"	"Yes"	6.20859002609663	6.11368217983223	231	24	47	6.78784498230958	7.57916796739608	9.14846496825809	8.29529885950246	6.21460809842219	6.90775527898214	49	65	17.2	25	8.30745932701195	57
"Lambuth University"	"Yes"	6.72262979485545	6.28785856016178	224	15	35	6.73340189183736	5.78382518232974	8.55062796750248	8.14031554015999	6.39692965521615	7.37148929521428	61	61	16.1	10	8.61812390999468	60
"Lawrence University"	"Yes"	7.12528309151071	6.85329909318608	324	50	77	7.02908756414966	4.30406509320417	9.75051118293664	8.26642147298455	6.26339826259162	6.88243747099785	76	92	10.1	57	9.54430947837928	77
"Le Moyne College"	"Yes"	7.29301767977278	7.08924315502751	425	21	76	7.50659178007084	6.32435896238131	9.30928031983109	8.48466999971068	5.99146454710798	6.80239476332431	89	92	13.3	28	9.00183909739884	94
"Lebanon Valley College"	"Yes"	7.23417717974985	6.96602418710611	320	28	56	6.87212810133899	6.21860011969173	9.53604051161548	8.46695197497949	5.99146454710798	7.02553831463852	84	84	12.3	30	9.01140150935879	85
